_id,fy_ef,organization,estimates_document,vote_number,vote_type,authorities
6275,FY 2016-17,Federal Economic Development Agency for Southern Ontario,Main Estimates,5,Grants & Contributions,205479871
6276,FY 2016-17,Federal Economic Development Agency for Southern Ontario,Main Estimates,1,Operating/Program,25753625
6277,FY 2016-17,Financial Transactions and Reports Analysis Centre of Canada,Main Estimates,1,Operating/Program,51042501
6278,FY 2016-17,House of Commons,Main Estimates,1,Operating/Program,307196559
6279,FY 2016-17,Immigration and Refugee Board,Main Estimates,1,Operating/Program,100834047
6280,FY 2016-17,Impact Assessment Agency of Canada,Main Estimates,1,Operating/Program,27512578
6281,FY 2016-17,International Development Research Centre,Main Estimates,1,Payments to Crown Corps,149205625
6282,FY 2016-17,International Joint Commission (Canadian Section),Main Estimates,1,Operating/Program,6169075
6283,FY 2016-17,Library and Archives of Canada,Main Estimates,5,Capital,11937824
6284,FY 2016-17,Library and Archives of Canada,Main Estimates,1,Operating/Program,94905525
6285,FY 2016-17,Library of Parliament,Main Estimates,1,Operating/Program,37899035
6286,FY 2016-17,Marine Atlantic Inc.,Main Estimates,1,Payments to Crown Corps,140122000
6287,FY 2016-17,Military Grievances External Review Committee,Main Estimates,1,Operating/Program,6141086
6288,FY 2016-17,Military Police Complaints Commission,Main Estimates,1,Operating/Program,4217527
6289,FY 2016-17,National Arts Centre Corporation,Main Estimates,1,Payments to Crown Corps,79397056
6290,FY 2016-17,National Capital Commission,Main Estimates,5,Payments to Crown Corps,22380000
6291,FY 2016-17,National Capital Commission,Main Estimates,1,Payments to Crown Corps,66412180
6292,FY 2016-17,National Film Board,Main Estimates,1,Operating/Program,61894820
6293,FY 2016-17,National Gallery of Canada,Main Estimates,1,Payments to Crown Corps,35888410
6294,FY 2016-17,National Gallery of Canada,Main Estimates,5,Payments to Crown Corps,8000000
6295,FY 2016-17,National Museum of Science and Technology,Main Estimates,1,Payments to Crown Corps,59979776
6296,FY 2016-17,National Research Council of Canada,Main Estimates,10,Grants & Contributions,319874894
6297,FY 2016-17,National Research Council of Canada,Main Estimates,5,Capital,108758789
6298,FY 2016-17,National Research Council of Canada,Main Estimates,1,Operating/Program,400731653
6299,FY 2016-17,National Security and Intelligence Review Agency Secretariat,Main Estimates,1,Operating/Program,2477401
6300,FY 2016-17,Natural Sciences and Engineering Research Council,Main Estimates,5,Grants & Contributions,1071265060
6301,FY 2016-17,Natural Sciences and Engineering Research Council,Main Estimates,1,Operating/Program,43401516
6302,FY 2016-17,Northern Pipeline Agency,Main Estimates,1,Operating/Program,701095
6303,FY 2016-17,Office of the Auditor General,Main Estimates,1,Operating/Program,68269099
6304,FY 2016-17,Office of the Chief Electoral Officer,Main Estimates,1,Operating/Program,29212735
6305,FY 2016-17,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,1,Operating/Program,7833778
6306,FY 2016-17,Office of the Commissioner for Federal Judicial Affairs,Main Estimates,5,Operating/Program,1513611
6307,FY 2016-17,Office of the Commissioner of Lobbying,Main Estimates,1,Operating/Program,4026414
6308,FY 2016-17,Office of the Commissioner of Official Languages,Main Estimates,1,Operating/Program,18559402
6309,FY 2016-17,Office of the Conflict of Interest and Ethics Commissioner,Main Estimates,1,Operating/Program,6178280
6310,FY 2016-17,Office of the Correctional Investigator of Canada,Main Estimates,1,Operating/Program,4102301
6311,FY 2016-17,Office of the Director of Public Prosecutions,Main Estimates,1,Operating/Program,163791495
6312,FY 2016-17,Office of the Governor General's Secretary,Main Estimates,1,Operating/Program,20034516
6313,FY 2016-17,Office of the Intelligence Commissioner,Main Estimates,1,Operating/Program,1940071
6314,FY 2016-17,Office of the Public Sector Integrity Commissioner,Main Estimates,1,Operating/Program,4936421
6315,FY 2016-17,Office of the Senate Ethics Officer,Main Estimates,1,Operating/Program,1059500
6316,FY 2016-17,Office of the Superintendent of Financial Institutions,Main Estimates,1,Operating/Program,945058
6317,FY 2016-17,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,1,Operating/Program,9927361
6318,FY 2016-17,Offices of the Information and Privacy Commissioners of Canada,Main Estimates,5,Operating/Program,22036920
6319,FY 2016-17,PPP Canada Inc.,Main Estimates,5,Payments to Crown Corps,267700000
6320,FY 2016-17,PPP Canada Inc.,Main Estimates,1,Payments to Crown Corps,11800000
6321,FY 2016-17,Parks Canada Agency,Main Estimates,5,Other,500000
6322,FY 2016-17,Parks Canada Agency,Main Estimates,1,Operating/Program,997202390
6323,FY 2016-17,Parliamentary Protective Service,Main Estimates,1,Operating/Program,56313707
6324,FY 2016-17,Parole Board of Canada,Main Estimates,1,Operating/Program,40671103
6325,FY 2016-17,Patented Medicine Prices Review Board,Main Estimates,1,Operating/Program,9943258
6326,FY 2016-17,Privy Council Office,Main Estimates,1,Operating/Program,105746416
6327,FY 2016-17,Public Health Agency of Canada,Main Estimates,5,Capital,5853695
6328,FY 2016-17,Public Health Agency of Canada,Main Estimates,10,Grants & Contributions,206779000
6329,FY 2016-17,Public Health Agency of Canada,Main Estimates,1,Operating/Program,333171729
6330,FY 2016-17,Public Service Commission,Main Estimates,1,Operating/Program,71160178
6331,FY 2016-17,Registrar of the Supreme Court of Canada,Main Estimates,1,Operating/Program,23362704
6332,FY 2016-17,Royal Canadian Mounted Police,Main Estimates,5,Capital,246780724
6333,FY 2016-17,Royal Canadian Mounted Police,Main Estimates,10,Grants & Contributions,194973483
6334,FY 2016-17,Royal Canadian Mounted Police,Main Estimates,1,Operating/Program,1835514525
6335,FY 2016-17,Royal Canadian Mounted Police External Review Committee,Main Estimates,1,Operating/Program,1447634
6336,FY 2016-17,Senate,Main Estimates,1,Operating/Program,58276163
6337,FY 2016-17,Shared Services Canada,Main Estimates,5,Capital,268084298
6338,FY 2016-17,Shared Services Canada,Main Estimates,1,Operating/Program,1192407135
6339,FY 2016-17,Social Sciences and Humanities Research Council,Main Estimates,1,Operating/Program,23665745
6340,FY 2016-17,Social Sciences and Humanities Research Council,Main Estimates,5,Grants & Contributions,693536144
6341,FY 2016-17,Standards Council of Canada,Main Estimates,1,Payments to Crown Corps,9329000
6342,FY 2016-17,Statistics Canada,Main Estimates,1,Operating/Program,672646985
6343,FY 2016-17,Telefilm Canada,Main Estimates,1,Payments to Crown Corps,95453551
6344,FY 2016-17,The Federal Bridge Corporation Limited,Main Estimates,1,Payments to Crown Corps,31414312
6345,FY 2016-17,The Jacques-Cartier and Champlain Bridges Inc.,Main Estimates,1,Payments to Crown Corps,351919000
6346,FY 2016-17,The National Battlefields Commission,Main Estimates,1,Operating/Program,6461761
6347,FY 2016-17,Treasury Board Secretariat,Main Estimates,33,Treasury Board Central,600000000
6348,FY 2016-17,Treasury Board Secretariat,Main Estimates,1,Operating/Program,209531439
6349,FY 2016-17,Treasury Board Secretariat,Main Estimates,30,Treasury Board Central,600000000
6350,FY 2016-17,Treasury Board Secretariat,Main Estimates,25,Treasury Board Central,1600000000
6351,FY 2016-17,Treasury Board Secretariat,Main Estimates,10,Treasury Board Central,3193000
6352,FY 2016-17,Treasury Board Secretariat,Main Estimates,20,Treasury Board Central,2337061397
6353,FY 2016-17,Treasury Board Secretariat,Main Estimates,5,Treasury Board Central,750000000
6354,FY 2016-17,VIA Rail Canada Inc.,Main Estimates,1,Payments to Crown Corps,382830000
6355,FY 2016-17,Veterans Review and Appeal Board,Main Estimates,1,Operating/Program,9451156
6356,FY 2016-17,Windsor-Detroit Bridge Authority,Main Estimates,1,Payments to Crown Corps,215989827
6357,FY 2016-17,Administrative Tribunals Support Service of Canada,Supplementary Estimates A,1,Operating/Program,2654421
6358,FY 2016-17,Atlantic Canada Opportunities Agency,Supplementary Estimates A,5,Grants & Contributions,8300000
6359,FY 2016-17,Canada Border Services Agency,Supplementary Estimates A,5,Capital,19614850
6360,FY 2016-17,Canada Border Services Agency,Supplementary Estimates A,1,Operating/Program,5311942
6361,FY 2016-17,Canada Council for the Arts,Supplementary Estimates A,1,Payments to Crown Corps,40000000
6362,FY 2016-17,Canada Mortgage and Housing Corporation,Supplementary Estimates A,1,Payments to Crown Corps,1069800000
6363,FY 2016-17,Canadian Air Transport Security Authority,Supplementary Estimates A,1,Payments to Crown Corps,142272546
6364,FY 2016-17,Canadian Food Inspection Agency,Supplementary Estimates A,5,Capital,2068410
6365,FY 2016-17,Canadian Food Inspection Agency,Supplementary Estimates A,1,Operating/Program,32107561
6366,FY 2016-17,Canadian Institutes of Health Research,Supplementary Estimates A,5,Grants & Contributions,13550000
6367,FY 2016-17,Canadian Institutes of Health Research,Supplementary Estimates A,1,Operating/Program,1196515
6368,FY 2016-17,Canadian Northern Economic Development Agency,Supplementary Estimates A,5,Grants & Contributions,23763634
6369,FY 2016-17,Canadian Northern Economic Development Agency,Supplementary Estimates A,1,Operating/Program,4668559
6370,FY 2016-17,Canadian Tourism Commission,Supplementary Estimates A,1,Payments to Crown Corps,25000000
6371,FY 2016-17,Department of Agriculture and Agri-Food,Supplementary Estimates A,5,Capital,7242500
6372,FY 2016-17,Department of Agriculture and Agri-Food,Supplementary Estimates A,1,Operating/Program,2127657
6373,FY 2016-17,Department of Canadian Heritage,Supplementary Estimates A,5,Grants & Contributions,95539579
6374,FY 2016-17,Department of Canadian Heritage,Supplementary Estimates A,1,Operating/Program,1363555
6375,FY 2016-17,Department of Citizenship and Immigration,Supplementary Estimates A,5,Capital,4474340
6376,FY 2016-17,Department of Citizenship and Immigration,Supplementary Estimates A,1,Operating/Program,60844619
6377,FY 2016-17,Department of Citizenship and Immigration,Supplementary Estimates A,10,Grants & Contributions,118477516
6378,FY 2016-17,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,10,Grants & Contributions,981831046
6379,FY 2016-17,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,1,Operating/Program,204799222
6380,FY 2016-17,Department of Crown-Indigenous Relations and Northern Affairs,Supplementary Estimates A,5,Capital,13266026
6381,FY 2016-17,Department of Employment and Social Development,Supplementary Estimates A,5,Grants & Contributions,280194535
6382,FY 2016-17,Department of Employment and Social Development,Supplementary Estimates A,1,Operating/Program,12452090
6383,FY 2016-17,Department of Fisheries and Oceans,Supplementary Estimates A,5,Capital,138943032
6384,FY 2016-17,Department of Fisheries and Oceans,Supplementary Estimates A,10,Grants & Contributions,28939067
6385,FY 2016-17,Department of Fisheries and Oceans,Supplementary Estimates A,1,Operating/Program,131283518
6386,FY 2016-17,"Department of Foreign Affairs, Trade and Development",Supplementary Estimates A,1,Operating/Program,39074405
6387,FY 2016-17,Department of Health,Supplementary Estimates A,10,Grants & Contributions,101715753
6388,FY 2016-17,Department of Health,Supplementary Estimates A,1,Operating/Program,53561618
6389,FY 2016-17,Department of Health,Supplementary Estimates A,5,Capital,6223645
6390,FY 2016-17,"Department of Housing, Infrastructure and Communities",Supplementary Estimates A,10,Grants & Contributions,1383566000
6391,FY 2016-17,"Department of Housing, Infrastructure and Communities",Supplementary Estimates A,1,Operating/Program,14690666
6392,FY 2016-17,Department of Industry,Supplementary Estimates A,1,Operating/Program,7933481
6393,FY 2016-17,Department of Industry,Supplementary Estimates A,5,Capital,8518900
6394,FY 2016-17,Department of Industry,Supplementary Estimates A,10,Grants & Contributions,587190573
6395,FY 2016-17,Department of Natural Resources,Supplementary Estimates A,5,Capital,29270500
6396,FY 2016-17,Department of Natural Resources,Supplementary Estimates A,10,Grants & Contributions,-8583582
6397,FY 2016-17,Department of Natural Resources,Supplementary Estimates A,1,Operating/Program,67120072
6398,FY 2016-17,Department of Public Works and Government Services,Supplementary Estimates A,5,Capital,60943600
6399,FY 2016-17,Department of Public Works and Government Services,Supplementary Estimates A,1,Operating/Program,290359023
6400,FY 2016-17,Department of Transport,Supplementary Estimates A,20,Grants & Contributions,8627704
6401,FY 2016-17,Department of Transport,Supplementary Estimates A,15,Grants & Contributions,19031976
6402,FY 2016-17,Department of Transport,Supplementary Estimates A,1,Operating/Program,71576716
6403,FY 2016-17,Department of Transport,Supplementary Estimates A,5,Capital,24106745
6404,FY 2016-17,Department of Western Economic Diversification,Supplementary Estimates A,5,Grants & Contributions,23100000
6405,FY 2016-17,Department of the Environment,Supplementary Estimates A,10,Grants & Contributions,-22569049
6406,FY 2016-17,Department of the Environment,Supplementary Estimates A,5,Capital,2867000
6407,FY 2016-17,Department of the Environment,Supplementary Estimates A,1,Operating/Program,93571679
6408,FY 2016-17,Economic Development Agency of Canada for the Regions of Quebec,Supplementary Estimates A,5,Grants & Contributions,15600000
6409,FY 2016-17,Federal Economic Development Agency for Southern Ontario,Supplementary Estimates A,5,Grants & Contributions,22200000
6410,FY 2016-17,Impact Assessment Agency of Canada,Supplementary Estimates A,1,Operating/Program,4679144
6411,FY 2016-17,Marine Atlantic Inc.,Supplementary Estimates A,1,Payments to Crown Corps,6100000
6412,FY 2016-17,National Arts Centre Corporation,Supplementary Estimates A,1,Payments to Crown Corps,38000000
6413,FY 2016-17,National Gallery of Canada,Supplementary Estimates A,1,Payments to Crown Corps,1000000
6414,FY 2016-17,National Museum of Science and Technology,Supplementary Estimates A,1,Payments to Crown Corps,45624000
6415,FY 2016-17,National Research Council of Canada,Supplementary Estimates A,5,Capital,3350000
6416,FY 2016-17,National Research Council of Canada,Supplementary Estimates A,10,Grants & Contributions,50000000
