_id,fy_ef,organization,estimates_document,statutory_item,authorities
4369,FY 2015-16,Department of Canadian Heritage,Main Estimates,Salary and Motor Car Allowance,84100
4370,FY 2015-16,Department of Canadian Heritage,Main Estimates,Salaries of the Lieutenant Governors,1196000
4371,FY 2015-16,Department of Canadian Heritage,Main Estimates,Contributions to employee benefit plans,22577022
4372,FY 2015-16,Department of Citizenship and Immigration,Main Estimates,Fees returned in connection with a terminated application,29500000
4373,FY 2015-16,Department of Citizenship and Immigration,Main Estimates,Contributions to employee benefit plans,60679571
4374,FY 2015-16,Department of Citizenship and Immigration,Main Estimates,Fees returned in connection with a terminated application in Investor and Entrepreneur Classes,16500000
4375,FY 2015-16,Department of Citizenship and Immigration,Main Estimates,Salary and Motor Car Allowance,84100
4376,FY 2015-16,Department of Citizenship and Immigration,Main Estimates,Passport Canada Revolving Fund (Revolving Funds Act),-202153477
4377,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Contributions in connection with First Nations infrastructure,26730568
4378,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Payments to comprehensive claim beneficiaries in compensation for resource royalties,2637866
4379,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,2000000
4380,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grassy Narrows and Islington Bands Mercury Disability Board,15000
4381,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Salary and Motor Car Allowance,82100
4382,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Contributions to employee benefit plans,58711047
4383,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Indian Annuities Treaty payments,1400000
4384,FY 2015-16,Department of Crown-Indigenous Relations and Northern Affairs,Main Estimates,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,54588925
4385,FY 2015-16,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Apprentice Loans Act,1458760
4386,FY 2015-16,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities,131000000
4387,FY 2015-16,Department of Employment and Social Development,Main Estimates,Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities,266900000
4388,FY 2015-16,Department of Employment and Social Development,Main Estimates,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",49250000
4389,FY 2015-16,Department of Employment and Social Development,Main Estimates,Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act,658646004
4390,FY 2015-16,Department of Employment and Social Development,Main Estimates,Contributions to employee benefit plans,227360391
4391,FY 2015-16,Department of Employment and Social Development,Main Estimates,Universal Child Care Benefit (Universal Child Care Benefit Act),2851433214
4392,FY 2015-16,Department of Employment and Social Development,Main Estimates,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-5333048
4393,FY 2015-16,Department of Employment and Social Development,Main Estimates,Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children,800000000
4394,FY 2015-16,Department of Employment and Social Development,Main Estimates,Guaranteed Income Supplement Payments (Old Age Security Act),10605508948
4395,FY 2015-16,Department of Employment and Social Development,Main Estimates,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,2541
4396,FY 2015-16,Department of Employment and Social Development,Main Estimates,Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act),44000000
4397,FY 2015-16,Department of Employment and Social Development,Main Estimates,Allowance payments (Old Age Security Act),545938258
4398,FY 2015-16,Department of Employment and Social Development,Main Estimates,Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families,130000000
4399,FY 2015-16,Department of Employment and Social Development,Main Estimates,Civil Service Insurance actuarial liability adjustments,145000
4400,FY 2015-16,Department of Employment and Social Development,Main Estimates,Old Age Security payments (Old Age Security Act),34920970054
4401,FY 2015-16,Department of Employment and Social Development,Main Estimates,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,7871399
4402,FY 2015-16,Department of Employment and Social Development,Main Estimates,Supplementary retirement benefits — Annuities agents' pensions,35000
4403,FY 2015-16,Department of Employment and Social Development,Main Estimates,Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act,756113051
4404,FY 2015-16,Department of Employment and Social Development,Main Estimates,Salary and Motor Car Allowance,168200
4405,FY 2015-16,Department of Finance,Main Estimates,Debt payments on behalf of poor countries to International Organizations pursuant to section 18(1) of the Economic Recovery Act,51200000
4406,FY 2015-16,Department of Finance,Main Estimates,Additional Fiscal Equalization Offset Payment to Nova Scotia (Nova Scotia and Newfoundland and Labrador Additional Fiscal Equalization Offset Payments Act),36779000
4407,FY 2015-16,Department of Finance,Main Estimates,Interest on Unmatured Debt,17988000000
4408,FY 2015-16,Department of Finance,Main Estimates,Other Interest Costs,7630000000
4409,FY 2015-16,Department of Finance,Main Estimates,Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act),79348000
4410,FY 2015-16,Department of Finance,Main Estimates,Territorial Financing (Part I.1 - Federal-Provincial Fiscal Arrangements Act),3561034002
4411,FY 2015-16,Department of Finance,Main Estimates,Fiscal Equalization (Part I - Federal-Provincial Fiscal Arrangements Act),17341310000
4412,FY 2015-16,Department of Finance,Main Estimates,Canada Health Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),34026107000
4413,FY 2015-16,Department of Finance,Main Estimates,Canada Social Transfer (Part V.1 - Federal-Provincial Fiscal Arrangements Act),12959181000
4414,FY 2015-16,Department of Finance,Main Estimates,Purchase of Domestic Coinage,108000000
4415,FY 2015-16,Department of Finance,Main Estimates,Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act),-3872657000
4416,FY 2015-16,Department of Finance,Main Estimates,"Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-853046000
4417,FY 2015-16,Department of Finance,Main Estimates,Contributions to employee benefit plans,12097341
4418,FY 2015-16,Department of Finance,Main Estimates,Salary and Motor Car Allowance,84100
4419,FY 2015-16,Department of Finance,Main Estimates,Payments to International Development Association,441610000
4420,FY 2015-16,Department of Finance,Main Estimates,"Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",34378000
4421,FY 2015-16,Department of Fisheries and Oceans,Main Estimates,Salary and Motor Car Allowance,82100
4422,FY 2015-16,Department of Fisheries and Oceans,Main Estimates,Contributions to employee benefit plans,122672345
4423,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Main Estimates,Salary and Motor Car Allowance,248300
4424,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments to International Financial Institutions - Direct payments,245000000
4425,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Main Estimates,Contributions to employee benefit plans,102248879
4426,FY 2015-16,"Department of Foreign Affairs, Trade and Development",Main Estimates,Payments under the Diplomatic Service (Special) Superannuation Act,250000
4427,FY 2015-16,Department of Health,Main Estimates,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",51462891
4428,FY 2015-16,Department of Health,Main Estimates,Salary and Motor Car Allowance,82100
4429,FY 2015-16,Department of Health,Main Estimates,Contributions to employee benefit plans,122777377
4430,FY 2015-16,"Department of Housing, Infrastructure and Communities",Main Estimates,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),1973269432
4431,FY 2015-16,"Department of Housing, Infrastructure and Communities",Main Estimates,Contributions to employee benefit plans,5567747
4432,FY 2015-16,"Department of Housing, Infrastructure and Communities",Main Estimates,Salary and Motor Car Allowance,82100
4433,FY 2015-16,Department of Industry,Main Estimates,Liabilities under the Canada Small Business Financing Act,73454000
4434,FY 2015-16,Department of Industry,Main Estimates,Grant and Contribution to Genome Canada,70800000
4435,FY 2015-16,Department of Industry,Main Estimates,Salary and Motor Car Allowance,86100
4436,FY 2015-16,Department of Industry,Main Estimates,Contributions to employee benefit plans,51878033
4437,FY 2015-16,Department of Industry,Main Estimates,Canadian Intellectual Property Office Revolving Fund,8631168
4438,FY 2015-16,Department of Justice,Main Estimates,Salary and Motor Car Allowance,82100
